epoch,accuracy,loss,val_accuracy,val_loss
0,0.2550840973854065,1.4267219305038452,0.8900050520896912,1.3870714902877808
1,0.24780316650867462,1.3864142894744873,0.0010045203380286694,1.3855807781219482
2,0.25445643067359924,1.3868536949157715,0.0010045203380286694,1.385483741760254
3,0.2528245151042938,1.386305332183838,0.001506780507043004,1.3854831457138062
4,0.25269895792007446,1.3863112926483154,0.0005022601690143347,1.385324239730835
5,0.2525734305381775,1.3864210844039917,0.0005022601690143347,1.3855843544006348
6,0.2528245151042938,1.3862941265106201,0.0005022601690143347,1.3854150772094727
7,0.2533266246318817,1.3866478204727173,0.0,1.3854950666427612
8,0.2528245151042938,1.3862943649291992,0.0005022601690143347,1.3853150606155396
9,0.25269895792007446,1.3864500522613525,0.0,1.385642409324646
10,0.2528245151042938,1.3862899541854858,0.0005022601690143347,1.3854491710662842
11,0.2528245151042938,1.3863188028335571,0.0005022601690143347,1.3855235576629639
12,0.2528245151042938,1.386293649673462,0.0005022601690143347,1.3854676485061646
13,0.2528245151042938,1.386290192604065,0.0005022601690143347,1.3854646682739258
14,0.2528245151042938,1.386549472808838,0.0,1.3854897022247314
15,0.25269895792007446,1.386293888092041,0.0,1.3856017589569092
16,0.2528245151042938,1.3862861394882202,0.0,1.3854191303253174
17,0.2528245151042938,1.3862875699996948,0.0,1.3855994939804077
18,0.2528245151042938,1.3862826824188232,0.0,1.3854906558990479
