epoch,accuracy,loss,val_accuracy,val_loss
0,0.2901606559753418,1.3874006271362305,0.41025641560554504,1.278509497642517
1,0.47740963101387024,1.1526978015899658,0.5731523633003235,1.0110197067260742
2,0.5916164517402649,0.9442223310470581,0.6832579374313354,0.8028547763824463
3,0.6736947894096375,0.7622610926628113,0.711412787437439,0.6632717847824097
4,0.7159889340400696,0.6524202823638916,0.7858220338821411,0.5176568031311035
5,0.7724648714065552,0.5476104021072388,0.7823026776313782,0.5408750176429749
6,0.7990713119506836,0.48228275775909424,0.8355957865715027,0.41268426179885864
7,0.8221636414527893,0.4161432981491089,0.8039215803146362,0.4108354151248932
8,0.8355923891067505,0.3909655809402466,0.839617908000946,0.3759234547615051
9,0.8456325531005859,0.3724573850631714,0.8863750696182251,0.2877892553806305
10,0.8599397540092468,0.33123621344566345,0.8773252964019775,0.2875326871871948
11,0.8708584308624268,0.3092217743396759,0.8632478713989258,0.31579506397247314
12,0.8742470145225525,0.2976089119911194,0.9004524946212769,0.23962876200675964
13,0.8734939694404602,0.30091220140457153,0.8984414339065552,0.24754582345485687
14,0.8900602459907532,0.26826223731040955,0.858722984790802,0.32506948709487915
15,0.889809250831604,0.25863271951675415,0.8642534017562866,0.31268110871315
16,0.8940762877464294,0.26247912645339966,0.9155354499816895,0.19480955600738525
17,0.8997238874435425,0.24563689529895782,0.9165409803390503,0.20934532582759857
18,0.8984688520431519,0.25426316261291504,0.9059829115867615,0.24523359537124634
19,0.9205572009086609,0.19908186793327332,0.9160382151603699,0.20408779382705688
20,0.9184237122535706,0.19691960513591766,0.9235796928405762,0.18204458057880402
21,0.9189257025718689,0.1952102929353714,0.8813474178314209,0.28174012899398804
22,0.9240713119506836,0.1902359426021576,0.9421820044517517,0.14997108280658722
23,0.9285893440246582,0.17193949222564697,0.9366515874862671,0.15144170820713043
24,0.9361194968223572,0.15608631074428558,0.9472096562385559,0.12045901268720627
25,0.9410140514373779,0.143803209066391,0.9416792392730713,0.14557236433029175
26,0.9450300931930542,0.13584375381469727,0.9552538990974426,0.1158672645688057
27,0.9470381736755371,0.13489621877670288,0.9421820044517517,0.14680394530296326
28,0.9397590160369873,0.15256492793560028,0.8863750696182251,0.3043126165866852
29,0.9471636414527893,0.13807210326194763,0.9462041258811951,0.12202446907758713
30,0.946536123752594,0.1363140195608139,0.9577677249908447,0.11173482984304428
31,0.9492971897125244,0.12725402414798737,0.9597787857055664,0.1027272567152977
32,0.9573293328285217,0.11291228234767914,0.9663147330284119,0.08984727412462234
33,0.9568272829055786,0.10883219540119171,0.9638009071350098,0.10019964724779129
34,0.9526857137680054,0.11466432362794876,0.9552538990974426,0.11761888116598129
35,0.9536897540092468,0.11100594699382782,0.9356460571289062,0.14017288386821747
36,0.9609688520431519,0.10640521347522736,0.9607843160629272,0.0991467759013176
37,0.959588348865509,0.09808118641376495,0.9416792392730713,0.16188552975654602
38,0.9722640514373779,0.07112755626440048,0.9643036723136902,0.08458444476127625
39,0.9781626462936401,0.0615449920296669,0.9834087491035461,0.053149230778217316
40,0.9786646366119385,0.05945499613881111,0.9793866276741028,0.05747582018375397
41,0.9781626462936401,0.06047540530562401,0.9703368544578552,0.06878020614385605
42,0.9789156913757324,0.05540502816438675,0.9849170446395874,0.04759586974978447
43,0.9775351285934448,0.058659397065639496,0.980894923210144,0.05740601569414139
44,0.9840612411499023,0.048810575157403946,0.9743589758872986,0.06165562942624092
45,0.9809237122535706,0.05066239461302757,0.9829059839248657,0.044772859662771225
46,0.9826807379722595,0.049288101494312286,0.9839115142822266,0.04787154495716095
47,0.983433723449707,0.05365043133497238,0.9819004535675049,0.050078555941581726
48,0.9797942042350769,0.05529945716261864,0.9839115142822266,0.04624474048614502
49,0.9815512299537659,0.04937593638896942,0.9879336357116699,0.042806047946214676
50,0.9821786880493164,0.049190372228622437,0.9718451499938965,0.0710989236831665
51,0.9831827282905579,0.049220435321331024,0.9884364008903503,0.03962133452296257
52,0.9858182668685913,0.04400304704904556,0.9819004535675049,0.04872889816761017
53,0.9838102459907532,0.044904522597789764,0.9879336357116699,0.04178851842880249
54,0.9854417443275452,0.04207024350762367,0.984414279460907,0.041014183312654495
55,0.983559250831604,0.04838518798351288,0.9849170446395874,0.04305790737271309
56,0.9839357137680054,0.04399672895669937,0.984414279460907,0.044553663581609726
57,0.9898343086242676,0.03650017827749252,0.990447461605072,0.03743911162018776
58,0.9885793328285217,0.038713909685611725,0.9884364008903503,0.03638263791799545
59,0.9902108311653137,0.03312673792243004,0.9849170446395874,0.03947557508945465
