epoch,accuracy,loss,val_accuracy,val_loss
0,0.3591513931751251,1.3814173936843872,0.0,1.318946123123169
1,0.5768265128135681,0.9660618305206299,0.9211451411247253,0.9822894930839539
2,0.6879236698150635,0.7302294969558716,0.9156202673912048,0.6340461373329163
3,0.7607331275939941,0.5730047225952148,0.9944751262664795,0.12275109440088272
4,0.7865930199623108,0.5064817070960999,0.982923150062561,0.15391375124454498
5,0.8188551068305969,0.43491554260253906,0.9989954829216003,0.04594464600086212
6,0.8383128046989441,0.39379945397377014,0.9075841307640076,0.2813413441181183
7,0.8457192778587341,0.3720587193965912,1.0,0.011483407579362392
8,0.8624152541160583,0.3341066241264343,0.9748870134353638,0.1516130119562149
9,0.8803665637969971,0.30149972438812256,0.996986448764801,0.06917830556631088
10,0.8860155940055847,0.2862350344657898,0.9703666567802429,0.12328262627124786
11,0.8979412317276001,0.2653084397315979,0.8874937295913696,0.2946038842201233
12,0.8986944556236267,0.2548454701900482,0.9693621397018433,0.13484139740467072
13,0.9130052924156189,0.22443479299545288,0.9799095988273621,0.10919387638568878
14,0.9153904318809509,0.216971293091774,0.9638372659683228,0.13954362273216248
15,0.9180266261100769,0.21152721345424652,0.9779005646705627,0.11697603762149811
16,0.9173989295959473,0.20410245656967163,0.9246609807014465,0.21578459441661835
17,0.9204117655754089,0.202816441655159,0.9276745319366455,0.2036972939968109
