epoch,accuracy,loss,val_accuracy,val_loss
0,0.24598392844200134,1.3871389627456665,0.26646557450294495,1.3859355449676514
1,0.27648091316223145,1.3759082555770874,0.30668678879737854,1.332341194152832
2,0.42896586656570435,1.2109473943710327,0.48114630579948425,1.1275546550750732
3,0.5578564405441284,0.9727749824523926,0.6304675936698914,0.8205681443214417
4,0.6677961945533752,0.744117259979248,0.7068879008293152,0.6687059998512268
5,0.7424699068069458,0.5923330783843994,0.7667169570922852,0.5536589622497559
6,0.7926706671714783,0.48975226283073425,0.7435897588729858,0.5472937226295471
7,0.8269327282905579,0.4152242839336395,0.814479649066925,0.41671472787857056
8,0.8534136414527893,0.35571181774139404,0.8265460133552551,0.3873991370201111
9,0.8512800931930542,0.3536652624607086,0.8295626044273376,0.3624893128871918
10,0.8776355385780334,0.2993203103542328,0.8642534017562866,0.3019471764564514
11,0.8924447894096375,0.26409417390823364,0.8813474178314209,0.29545336961746216
12,0.9037399888038635,0.24427486956119537,0.8707893490791321,0.3021338880062103
13,0.9052459597587585,0.23030541837215424,0.874308705329895,0.270688533782959
14,0.907881498336792,0.22395141422748566,0.8697838187217712,0.29826855659484863
15,0.917043149471283,0.20731092989444733,0.8873805999755859,0.254372775554657
16,0.9258283376693726,0.18799947202205658,0.9039718508720398,0.224354088306427
17,0.9285893440246582,0.18178114295005798,0.8979386687278748,0.2475653439760208
18,0.9400100111961365,0.1627964973449707,0.8893916606903076,0.2669885754585266
19,0.9405120611190796,0.15603363513946533,0.9100050330162048,0.20736941695213318
20,0.9472891688346863,0.1399099975824356,0.9110105633735657,0.2039419561624527
21,0.9485442042350769,0.13554875552654266,0.9110105633735657,0.20777525007724762
22,0.9490461945533752,0.13454674184322357,0.8908999562263489,0.2707996666431427
23,0.9467871189117432,0.1342783272266388,0.9195575714111328,0.200535386800766
24,0.9594628810882568,0.11114809662103653,0.9195575714111328,0.18784180283546448
25,0.9617218971252441,0.10672492533922195,0.9356460571289062,0.1659710705280304
26,0.9691265225410461,0.0882139727473259,0.9301156401634216,0.17716769874095917
27,0.9607178568840027,0.1062457337975502,0.9331322312355042,0.16809527575969696
28,0.9726405739784241,0.08002360165119171,0.9351432919502258,0.1592857986688614
29,0.9755271077156067,0.07728122174739838,0.9457013607025146,0.15108390152454376
