epoch,accuracy,loss,val_accuracy,val_loss
0,0.5356425642967224,1.0595089197158813,0.2704876959323883,2.409191846847534
1,0.7786144614219666,0.5531312227249146,0.7707390785217285,0.5546701550483704
2,0.8575552105903625,0.3715309798717499,0.6400201320648193,0.8752816319465637
3,0.8908132314682007,0.28684210777282715,0.6510809659957886,1.3360061645507812
4,0.9051204919815063,0.24922476708889008,0.8386123776435852,0.4003998637199402
5,0.9175451993942261,0.21573562920093536,0.8883861303329468,0.2714008688926697
6,0.9255772829055786,0.19267842173576355,0.3162393271923065,9.562689781188965
7,0.920933723449707,0.20035533607006073,0.843137264251709,0.4221777021884918
8,0.9327309131622314,0.17890247702598572,0.723479151725769,0.8350062370300293
9,0.9337349534034729,0.16765500605106354,0.8255404829978943,0.5014951825141907
10,0.9407630562782288,0.15547102689743042,0.6415284276008606,1.4191675186157227
11,0.9584588408470154,0.10865166783332825,0.9477124214172363,0.12677109241485596
12,0.9607178568840027,0.10104749351739883,0.8863750696182251,0.3243667781352997
13,0.9648594260215759,0.0941433385014534,0.9230769276618958,0.24603672325611115
14,0.9634789228439331,0.09429535269737244,0.8250377178192139,0.5303208231925964
15,0.959713876247406,0.09873800724744797,0.9517345428466797,0.1304037719964981
16,0.9663654565811157,0.08855215460062027,0.9411764740943909,0.14377617835998535
17,0.9702560305595398,0.08048130571842194,0.9778783321380615,0.063237264752388
18,0.9692519903182983,0.07716573029756546,0.9668174982070923,0.09246879816055298
19,0.9720130562782288,0.07470148801803589,0.9622926115989685,0.10130053758621216
20,0.9701305031776428,0.07482699304819107,0.9693313241004944,0.07481497526168823
21,0.9740210771560669,0.06986155360937119,0.9648064374923706,0.09062673896551132
22,0.9735190868377686,0.07117879390716553,0.9773755669593811,0.05789696425199509
23,0.9735190868377686,0.06749647855758667,0.9632981419563293,0.09317987412214279
24,0.9742720723152161,0.06949137896299362,0.9678230285644531,0.07719963043928146
25,0.9741466045379639,0.06796686351299286,0.9758672714233398,0.06423205882310867
26,0.976154625415802,0.06809858232736588,0.9648064374923706,0.08358253538608551
27,0.9751505851745605,0.06831704825162888,0.9632981419563293,0.0860568955540657
28,0.9766566157341003,0.06316838413476944,0.9859225749969482,0.051832400262355804
29,0.9782881736755371,0.06040194258093834,0.980894923210144,0.04819174110889435
30,0.9775351285934448,0.05978631228208542,0.9788838624954224,0.061646196991205215
31,0.9775351285934448,0.05961935594677925,0.9834087491035461,0.051476310938596725
32,0.9748995900154114,0.06403784453868866,0.984414279460907,0.04777010902762413
33,0.9789156913757324,0.058050837367773056,0.9798893928527832,0.05757705122232437
34,0.9800451993942261,0.05788430571556091,0.9798893928527832,0.05164274945855141
35,0.9780371189117432,0.05792146548628807,0.9829059839248657,0.047744933515787125
36,0.9775351285934448,0.05927269533276558,0.9864253401756287,0.04936519265174866
37,0.9774096608161926,0.05994163453578949,0.9859225749969482,0.045720286667346954
38,0.9806727170944214,0.05607948824763298,0.9834087491035461,0.04647092893719673
39,0.977786123752594,0.05880163237452507,0.9879336357116699,0.043435994535684586
40,0.9774096608161926,0.05934813246130943,0.9824032187461853,0.049370177090168
41,0.976029098033905,0.06271373480558395,0.9829059839248657,0.04819411411881447
42,0.9801706671714783,0.05461352318525314,0.9834087491035461,0.05242035910487175
43,0.9759036302566528,0.05949513614177704,0.9859225749969482,0.045105110853910446
44,0.9807981848716736,0.05316460132598877,0.9854198098182678,0.04643477872014046
45,0.9804216623306274,0.05257805064320564,0.9839115142822266,0.04402153566479683
46,0.9796686768531799,0.05444085970520973,0.9889391660690308,0.03547607362270355
47,0.9797942042350769,0.05762387067079544,0.9819004535675049,0.04608514904975891
48,0.9796686768531799,0.05425064265727997,0.9864253401756287,0.04196273908019066
49,0.9776606559753418,0.05935591086745262,0.9874308705329895,0.04033946245908737
50,0.9804216623306274,0.05503928288817406,0.9849170446395874,0.046291619539260864
51,0.9782881736755371,0.05728159099817276,0.9824032187461853,0.0460139736533165
52,0.979543149471283,0.05408632755279541,0.9864253401756287,0.04322407394647598
53,0.979543149471283,0.05371181294322014,0.9874308705329895,0.04065069183707237
54,0.9800451993942261,0.053131889551877975,0.9854198098182678,0.03917313367128372
55,0.9814257025718689,0.050401195883750916,0.9849170446395874,0.043939366936683655
56,0.9816766977310181,0.05311178043484688,0.9854198098182678,0.04147712141275406
57,0.9786646366119385,0.05681619048118591,0.9869281053543091,0.04569673910737038
58,0.9809237122535706,0.05328594520688057,0.9869281053543091,0.04422764480113983
